Census_Year,State_Code,State_Name,Region,No_Of_HH,Population,Avg_HH_Population
2011,28,State - ANDHRA PRADESH (28),Urban,6736573,27640561,4.1
2011,29,State - KARNATAKA (29),Total,13300790,60441655,4.5
2011,29,State - KARNATAKA (29),Rural,7922270,37173819,4.7
2011,29,State - KARNATAKA (29),Urban,5378520,23267836,4.3
2011,30,State - GOA (30),Total,341617,1438082,4.2
2011,30,State - GOA (30),Rural,127616,546892,4.3
2011,30,State - GOA (30),Urban,214001,891190,4.2
2011,31,Union Territory - LAKSHADWEEP (31),Total,11541,64016,5.5
2011,31,Union Territory - LAKSHADWEEP (31),Rural,2707,14118,5.2
2011,31,Union Territory - LAKSHADWEEP (31),Urban,8834,49898,5.6
2011,32,State - KERALA (32),Total,7835517,33212080,4.2
2011,32,State - KERALA (32),Rural,4141772,17380701,4.2
2011,32,State - KERALA (32),Urban,3693745,15831379,4.3
2011,33,State - TAMIL NADU (33),Total,18462231,71403562,3.9
2011,33,State - TAMIL NADU (33),Rural,9507865,36910442,3.9
2011,33,State - TAMIL NADU (33),Urban,8954366,34493120,3.9
2011,34,Union Territory - PUDUCHERRY (34),Total,301565,1240428,4.1
2011,34,Union Territory - PUDUCHERRY (34),Rural,94900,393741,4.1
2011,34,Union Territory - PUDUCHERRY (34),Urban,206665,846687,4.1
2011,35,Union Territory - ANDAMAN & NICOBAR ISLANDS (35),Total,94090,372230,4.0
2011,35,Union Territory - ANDAMAN & NICOBAR ISLANDS (35),Rural,58295,232492,4.0
2011,35,Union Territory - ANDAMAN & NICOBAR ISLANDS (35),Urban,35795,139738,3.9
